Date,Open,High,Low,Close,Adj Close,Volume
2015-09-16,15.000000,15.000000,15.000000,15.000000,15.000000,300
2015-09-17,null,null,null,null,null,null
2015-09-18,null,null,null,null,null,null
2015-09-21,null,null,null,null,null,null
2015-09-22,14.000000,14.000000,14.000000,14.000000,14.000000,5400
2015-09-23,null,null,null,null,null,null
2015-09-24,null,null,null,null,null,null
2015-09-25,null,null,null,null,null,null
2015-09-28,null,null,null,null,null,null
2015-09-29,null,null,null,null,null,null
2015-09-30,null,null,null,null,null,null
2015-10-01,null,null,null,null,null,null
2015-10-02,null,null,null,null,null,null
2015-10-05,null,null,null,null,null,null
2015-10-06,null,null,null,null,null,null
2015-10-07,null,null,null,null,null,null
2015-10-08,null,null,null,null,null,null
2015-10-09,null,null,null,null,null,null
2015-10-12,null,null,null,null,null,null
2015-10-13,null,null,null,null,null,null
2015-10-14,null,null,null,null,null,null
2015-10-15,15.000000,15.000000,14.000000,14.000000,14.000000,4100
2015-10-16,14.000000,14.500000,14.000000,14.000000,14.000000,26600
2015-10-19,14.000000,14.000000,14.000000,14.000000,14.000000,27300
2015-10-20,15.000000,15.000000,13.900000,13.900000,13.900000,27100
2015-10-21,14.000000,14.000000,13.500000,13.550000,13.550000,21200
2015-10-22,13.500000,13.500000,13.500000,13.500000,13.500000,200
2015-10-23,13.700000,13.700000,13.700000,13.700000,13.700000,100
2015-10-26,13.950000,14.000000,13.950000,14.000000,14.000000,6100
2015-10-27,14.000000,16.000000,14.000000,16.000000,16.000000,700
2015-10-28,null,null,null,null,null,null
2015-10-29,null,null,null,null,null,null
2015-10-30,null,null,null,null,null,null
2015-11-02,20.000000,25.000000,20.000000,20.000000,20.000000,1900
2015-11-03,18.190001,19.490000,13.000000,13.900000,13.900000,7400
2015-11-04,13.000000,14.000000,10.000000,12.000000,12.000000,25000
2015-11-05,8.000000,8.250000,7.500000,7.840000,7.840000,789400
2015-11-06,7.800000,8.300000,7.800000,8.070000,8.070000,69300
2015-11-09,8.230000,8.990000,8.200000,8.700000,8.700000,81655
2015-11-10,8.710000,9.060000,8.060000,8.350000,8.350000,35200
2015-11-11,8.200000,8.650000,8.150000,8.650000,8.650000,34000
2015-11-12,8.540000,8.790000,8.260000,8.695000,8.695000,19200
2015-11-13,8.790000,8.790000,8.250000,8.330000,8.330000,29400
2015-11-16,8.400000,8.450000,8.100000,8.160000,8.160000,32100
