Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.230000,6.560000,5.940000,6.560000,6.560000,28700
2010-01-05,6.540000,6.540000,6.180000,6.250000,6.250000,24700
2010-01-06,6.250000,6.290000,5.940000,5.980000,5.980000,31900
2010-01-07,6.000000,6.100000,5.750000,5.960000,5.960000,39100
2010-01-08,6.070000,6.680000,5.870000,6.550000,6.550000,108800
2010-01-11,6.630000,6.660000,6.330000,6.540000,6.540000,64000
2010-01-12,6.500000,6.680000,6.240000,6.310000,6.310000,49200
2010-01-13,6.340000,6.530000,6.110000,6.390000,6.390000,28000
2010-01-14,6.390000,6.410000,6.210000,6.350000,6.350000,17700
2010-01-15,6.420000,6.570000,6.020000,6.110000,6.110000,44100
2010-01-19,6.100000,6.540000,6.100000,6.520000,6.520000,30800
2010-01-20,6.480000,6.500000,6.070000,6.090000,6.090000,53600
2010-01-21,6.090000,6.300000,6.020000,6.100000,6.100000,68700
2010-01-22,6.090000,6.450000,6.070000,6.260000,6.260000,85700
2010-01-25,6.300000,6.360000,6.070000,6.110000,6.110000,52600
2010-01-26,6.100000,6.150000,6.070000,6.100000,6.100000,48100
2010-01-27,6.050000,6.390000,6.050000,6.370000,6.370000,22100
2010-01-28,6.390000,6.500000,6.080000,6.100000,6.100000,25800
2010-01-29,6.110000,6.250000,6.060000,6.110000,6.110000,33400
2010-02-01,6.120000,6.170000,6.080000,6.120000,6.120000,18400
2010-02-02,6.100000,6.160000,6.050000,6.100000,6.100000,47100
2010-02-03,6.090000,6.180000,6.080000,6.100000,6.100000,17600
2010-02-04,6.060000,6.160000,6.060000,6.060000,6.060000,47000
2010-02-05,6.130000,6.220000,6.090000,6.210000,6.210000,16700
2010-02-08,6.190000,6.240000,6.120000,6.180000,6.180000,20000
2010-02-09,6.240000,6.240000,6.090000,6.110000,6.110000,43100
2010-02-10,6.080000,6.230000,6.000000,6.050000,6.050000,25700
2010-02-11,6.030000,6.490000,6.030000,6.410000,6.410000,25700
2010-02-12,6.420000,6.480000,6.190000,6.410000,6.410000,28000
2010-02-16,6.410000,6.480000,6.320000,6.370000,6.370000,22400
2010-02-17,6.400000,6.440000,6.330000,6.400000,6.400000,19600
2010-02-18,6.370000,6.490000,6.240000,6.490000,6.490000,22400
2010-02-19,6.480000,6.480000,6.290000,6.320000,6.320000,22200
2010-02-22,6.440000,6.480000,6.110000,6.120000,6.120000,24600
2010-02-23,6.140000,6.430000,6.130000,6.310000,6.310000,21300
2010-02-24,6.250000,6.280000,6.120000,6.160000,6.160000,26000
2010-02-25,6.080000,6.160000,6.010000,6.140000,6.140000,20700
2010-02-26,6.230000,6.230000,6.060000,6.110000,6.110000,45400
2010-03-01,6.050000,6.200000,6.050000,6.190000,6.190000,42000
2010-03-02,6.180000,6.300000,6.130000,6.270000,6.270000,25900
2010-03-03,6.280000,6.380000,6.140000,6.240000,6.240000,36600
2010-03-04,6.240000,6.260000,6.030000,6.040000,6.040000,66500
2010-03-05,6.010000,6.280000,6.010000,6.280000,6.280000,42700
2010-03-08,6.300000,6.380000,6.190000,6.360000,6.360000,19500
2010-03-09,6.350000,6.400000,6.200000,6.390000,6.390000,10300
2010-03-10,6.370000,6.420000,6.020000,6.410000,6.410000,21800
2010-03-11,6.360000,6.370000,6.160000,6.360000,6.360000,8200
2010-03-12,6.230000,6.270000,6.200000,6.200000,6.200000,23700
2010-03-15,6.200000,6.290000,6.170000,6.210000,6.210000,12700
2010-03-16,6.290000,6.290000,6.190000,6.270000,6.270000,17400
2010-03-17,6.290000,6.290000,6.160000,6.220000,6.220000,10300
2010-03-18,6.200000,6.240000,6.150000,6.200000,6.200000,27300
2010-03-19,6.230000,6.280000,6.200000,6.220000,6.220000,49300
2010-03-22,6.200000,6.300000,5.830000,6.290000,6.290000,15500
2010-03-23,6.100000,6.320000,6.100000,6.290000,6.290000,28100
2010-03-24,6.260000,6.320000,6.200000,6.210000,6.210000,13700
2010-03-25,6.240000,6.300000,6.160000,6.200000,6.200000,20100
2010-03-26,6.210000,6.270000,6.180000,6.220000,6.220000,5500
2010-03-29,6.310000,6.310000,6.130000,6.170000,6.170000,5900
2010-03-30,6.080000,6.220000,6.070000,6.110000,6.110000,25200
2010-03-31,6.100000,6.200000,6.060000,6.100000,6.100000,71100
2010-04-01,6.100000,6.180000,6.000000,6.170000,6.170000,37700
