Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.500000,3.700000,3.100000,3.500000,3.500000,47600
2010-01-05,3.300000,3.500000,3.200000,3.400000,3.400000,54700
2010-01-06,3.400000,3.400000,3.200000,3.300000,3.300000,39200
2010-01-07,3.500000,3.500000,3.200000,3.300000,3.300000,31400
2010-01-08,3.200000,3.500000,3.200000,3.300000,3.300000,24000
2010-01-11,3.600000,3.600000,3.400000,3.500000,3.500000,68100
2010-01-12,3.500000,3.600000,3.300000,3.400000,3.400000,43500
2010-01-13,3.300000,3.500000,3.200000,3.400000,3.400000,61200
2010-01-14,3.500000,3.500000,3.300000,3.500000,3.500000,24100
2010-01-15,3.200000,3.500000,3.200000,3.300000,3.300000,28500
2010-01-19,3.300000,3.400000,3.200000,3.300000,3.300000,27100
2010-01-20,3.300000,3.300000,3.100000,3.100000,3.100000,44800
2010-01-21,2.900000,3.100000,2.900000,3.000000,3.000000,44200
2010-01-22,3.100000,3.200000,2.800000,3.000000,3.000000,53600
2010-01-25,3.200000,3.200000,2.800000,2.900000,2.900000,37600
2010-01-26,2.800000,3.300000,2.800000,3.100000,3.100000,58500
2010-01-27,3.100000,3.200000,3.000000,3.000000,3.000000,39000
2010-01-28,3.000000,3.100000,2.800000,2.800000,2.800000,35200
2010-01-29,2.800000,3.000000,2.800000,2.900000,2.900000,34800
2010-02-01,2.900000,3.000000,2.800000,2.800000,2.800000,26200
2010-02-02,2.800000,2.900000,2.500000,2.700000,2.700000,120000
2010-02-03,2.800000,3.000000,2.700000,2.800000,2.800000,59800
2010-02-04,2.800000,2.800000,2.500000,2.600000,2.600000,39500
2010-02-05,2.600000,2.700000,2.500000,2.500000,2.500000,38100
2010-02-08,2.700000,2.700000,2.500000,2.500000,2.500000,8800
2010-02-09,2.500000,2.700000,2.500000,2.700000,2.700000,18800
2010-02-10,2.900000,2.900000,2.700000,2.800000,2.800000,41300
2010-02-11,2.800000,3.200000,2.800000,3.100000,3.100000,66300
2010-02-12,3.100000,3.400000,2.800000,2.900000,2.900000,196300
2010-02-16,3.000000,3.300000,2.900000,3.000000,3.000000,109300
2010-02-17,3.000000,3.200000,2.800000,2.900000,2.900000,40700
2010-02-18,2.800000,3.300000,2.800000,3.300000,3.300000,149300
2010-02-19,3.300000,3.500000,3.000000,3.100000,3.100000,111300
2010-02-22,3.200000,3.200000,2.900000,2.900000,2.900000,46600
2010-02-23,2.900000,3.000000,2.800000,2.900000,2.900000,24600
2010-02-24,3.000000,3.000000,2.800000,2.900000,2.900000,22800
2010-02-25,2.700000,2.900000,2.600000,2.600000,2.600000,124300
2010-02-26,2.600000,2.700000,2.500000,2.500000,2.500000,88200
2010-03-01,2.500000,2.700000,2.500000,2.600000,2.600000,90700
2010-03-02,2.700000,2.700000,2.500000,2.600000,2.600000,34100
2010-03-03,2.700000,2.700000,2.600000,2.600000,2.600000,44100
2010-03-04,2.600000,2.700000,2.500000,2.700000,2.700000,84700
2010-03-05,2.700000,2.800000,2.600000,2.700000,2.700000,30400
2010-03-08,2.700000,2.800000,2.600000,2.700000,2.700000,39400
2010-03-09,2.700000,2.700000,2.600000,2.700000,2.700000,32700
2010-03-10,2.600000,2.700000,2.600000,2.700000,2.700000,25300
2010-03-11,2.900000,2.900000,2.700000,2.700000,2.700000,61400
2010-03-12,2.700000,2.700000,2.700000,2.700000,2.700000,79900
2010-03-15,2.700000,2.700000,2.600000,2.600000,2.600000,36500
2010-03-16,2.700000,2.700000,2.600000,2.600000,2.600000,54300
2010-03-17,2.600000,2.600000,2.500000,2.500000,2.500000,82800
2010-03-18,2.600000,2.600000,2.500000,2.600000,2.600000,22900
2010-03-19,2.500000,2.600000,2.500000,2.500000,2.500000,27100
2010-03-22,2.500000,2.600000,2.500000,2.600000,2.600000,50100
2010-03-23,2.700000,2.900000,2.500000,2.500000,2.500000,459400
2010-03-24,2.600000,2.600000,2.500000,2.600000,2.600000,399900
2010-03-25,2.600000,2.600000,2.500000,2.500000,2.500000,178400
2010-03-26,2.600000,2.600000,2.500000,2.600000,2.600000,197000
2010-03-29,2.600000,2.600000,2.500000,2.500000,2.500000,57500
2010-03-30,2.500000,2.600000,2.500000,2.500000,2.500000,74400
2010-03-31,2.500000,2.600000,2.500000,2.600000,2.600000,62200
2010-04-01,2.600000,2.600000,2.500000,2.500000,2.500000,86100
2010-04-05,2.500000,2.500000,2.500000,2.500000,2.500000,79000
2010-04-06,2.500000,2.500000,2.500000,2.500000,2.500000,50900
2010-04-07,2.500000,2.500000,2.400000,2.400000,2.400000,127200
2010-04-08,2.500000,2.500000,2.300000,2.400000,2.400000,48500
2010-04-09,2.400000,2.500000,2.400000,2.400000,2.400000,51800
2010-04-12,2.300000,2.600000,2.300000,2.600000,2.600000,171800
2010-04-13,2.600000,2.700000,2.600000,2.700000,2.700000,111100
2010-04-14,2.700000,2.700000,2.500000,2.500000,2.500000,100600
2010-04-15,2.700000,2.700000,2.500000,2.600000,2.600000,68700
2010-04-16,2.700000,2.700000,2.500000,2.500000,2.500000,47200
2010-04-19,2.700000,3.000000,2.500000,3.000000,3.000000,426600
2010-04-20,3.300000,3.300000,2.900000,2.900000,2.900000,304200
2010-04-21,3.000000,3.200000,2.800000,2.900000,2.900000,106600
2010-04-22,3.000000,3.000000,2.800000,2.800000,2.800000,31100
2010-04-23,2.800000,3.000000,2.800000,3.000000,3.000000,42200
2010-04-26,3.100000,3.200000,2.800000,2.800000,2.800000,70700
