Date,Open,High,Low,Close,Adj Close,Volume
2017-04-28,13.500000,14.250000,13.000000,13.000000,13.000000,953900
2017-05-01,13.200000,13.200000,13.000000,13.070000,13.070000,97000
2017-05-02,13.000000,13.192000,13.000000,13.100000,13.100000,68600
2017-05-03,13.100000,13.395000,13.100000,13.280000,13.280000,40800
2017-05-04,13.340000,13.500000,13.000000,13.110000,13.110000,33300
2017-05-05,13.160000,13.200000,13.000000,13.050000,13.050000,20500
2017-05-08,13.130000,13.130000,13.000000,13.030000,13.030000,11400
2017-05-09,13.000000,13.050000,13.000000,13.000000,13.000000,72800
2017-05-10,13.030000,13.090000,13.000000,13.090000,13.090000,13500
2017-05-11,13.100000,13.100000,13.050000,13.090000,13.090000,19300
2017-05-12,13.090000,13.120000,13.000000,13.000000,13.000000,5400
2017-05-15,13.000000,13.315000,13.000000,13.110000,13.110000,24800
2017-05-16,13.190000,13.212000,13.000000,13.000000,13.000000,21900
2017-05-17,13.000000,13.050000,13.000000,13.000000,13.000000,9200
2017-05-18,13.000000,13.150000,13.000000,13.050000,13.050000,7700
2017-05-19,13.030000,13.050000,13.000000,13.040000,13.040000,7400
2017-05-22,13.040000,13.070000,13.000000,13.060000,13.060000,12800
2017-05-23,13.010000,13.261000,13.000000,13.070000,13.070000,36200
2017-05-24,13.140000,13.140000,13.100000,13.110000,13.110000,19800
2017-05-25,13.210000,13.210000,13.025000,13.070000,13.070000,9800
2017-05-26,13.040000,13.040000,12.500000,12.590000,12.590000,16500
2017-05-30,12.490000,12.530000,12.170000,12.170000,12.170000,21800
2017-05-31,12.100000,12.230000,11.620000,11.730000,11.730000,17100
2017-06-01,11.700000,11.720000,10.070000,10.990000,10.990000,64600
2017-06-02,10.900000,11.060000,10.290000,10.480000,10.480000,30400
2017-06-05,10.480000,10.683000,10.350000,10.430000,10.430000,36100
2017-06-06,10.200000,10.200000,9.110000,9.970000,9.970000,106500
2017-06-07,9.870000,10.490000,9.700000,9.850000,9.850000,43500
2017-06-08,9.800000,9.800000,9.500000,9.620000,9.620000,17700
2017-06-09,9.500000,9.800000,9.160000,9.380000,9.380000,30600
2017-06-12,9.390000,9.530000,9.180000,9.530000,9.530000,21600
2017-06-13,9.260000,9.463000,8.850000,8.880000,8.880000,27700
2017-06-14,8.830000,8.999000,8.590000,8.690000,8.690000,63500
2017-06-15,8.770000,8.770000,7.240000,8.300000,8.300000,52700
2017-06-16,8.150000,10.050000,8.013000,9.510000,9.510000,81000
2017-06-19,9.750000,9.760000,9.064000,9.300000,9.300000,15200
2017-06-20,9.380000,9.810000,8.970000,9.810000,9.810000,18500
2017-06-21,9.720000,9.800000,9.420000,9.540000,9.540000,27000
2017-06-22,9.510000,10.040000,9.400000,9.410000,9.410000,29600
2017-06-23,9.400000,9.420000,8.750000,8.750000,8.750000,24900
2017-06-26,8.810000,9.210000,8.524000,9.210000,9.210000,22800
2017-06-27,9.370000,9.640000,8.880000,8.950000,8.950000,39100
2017-06-28,9.050000,9.050000,8.410000,8.770000,8.770000,9000
2017-06-29,8.700000,8.700000,8.130000,8.390000,8.390000,11000
2017-06-30,8.310000,8.440000,8.048000,8.350000,8.350000,106800
2017-07-03,8.400000,8.700000,8.100000,8.280000,8.280000,27700
2017-07-05,8.280000,8.607000,8.280000,8.480000,8.480000,6800
2017-07-06,8.510000,8.510000,8.145000,8.320000,8.320000,7800
2017-07-07,8.270000,8.513000,8.270000,8.390000,8.390000,4400
2017-07-10,8.270000,8.488000,8.100000,8.470000,8.470000,14700
2017-07-11,8.390000,8.500000,8.160000,8.390000,8.390000,16800
2017-07-12,8.310000,8.389000,8.140000,8.200000,8.200000,15300
2017-07-13,8.140000,8.440000,8.060000,8.210000,8.210000,28200
2017-07-14,8.400000,8.480000,8.080000,8.128000,8.128000,39700
2017-07-17,8.140000,8.504000,8.100000,8.220000,8.220000,21500
2017-07-18,8.220000,8.220000,8.030000,8.080000,8.080000,91800
2017-07-19,8.030000,8.210000,7.930000,8.090000,8.090000,45600
2017-07-20,8.190000,8.190000,7.860000,7.970000,7.970000,31600
2017-07-21,7.950000,8.000000,7.700000,7.930000,7.930000,42500
2017-07-24,7.927000,8.000000,7.370000,7.472000,7.472000,135000
2017-07-25,7.370000,7.500000,7.210000,7.290000,7.290000,13000
2017-07-26,7.230000,7.230000,7.030000,7.110000,7.110000,18900
2017-07-27,7.050000,7.777000,7.031000,7.760000,7.760000,29900
2017-07-28,7.700000,7.700000,7.240000,7.240000,7.240000,7000
2017-07-31,7.180000,7.379000,7.138000,7.330000,7.330000,5500
2017-08-01,7.192000,7.200000,7.050000,7.080000,7.080000,10500
2017-08-02,7.060000,7.115000,6.250000,7.040000,7.040000,40100
2017-08-03,6.980000,7.200000,6.720000,7.120000,7.120000,3200
2017-08-04,7.030000,7.030000,6.650000,6.810000,6.810000,9600
2017-08-07,6.810000,6.810000,6.470000,6.480000,6.480000,7900
2017-08-08,6.430000,6.710000,6.300000,6.710000,6.710000,5100
2017-08-09,6.650000,7.336000,6.500000,7.235000,7.235000,11300
2017-08-10,7.176000,7.214000,6.720000,7.010000,7.010000,5300
2017-08-11,6.890000,7.399000,6.310000,7.090000,7.090000,9500
2017-08-14,7.190000,7.630000,6.900000,7.630000,7.630000,6400
2017-08-15,7.550000,7.720000,7.110000,7.400000,7.400000,21400
2017-08-16,7.400000,7.640000,7.360000,7.640000,7.640000,2500
2017-08-17,7.700000,7.700000,6.860000,6.920000,6.920000,15600
2017-08-18,6.980000,7.450000,6.800000,7.390000,7.390000,7500
2017-08-21,7.405000,7.405000,7.100000,7.100000,7.100000,3000
2017-08-22,7.190000,7.220000,7.000000,7.220000,7.220000,11500
2017-08-23,7.220000,7.220000,7.046000,7.100000,7.100000,7300
2017-08-24,7.000000,7.071000,6.760000,6.910000,6.910000,14500
2017-08-25,7.000000,7.290000,6.920000,7.290000,7.290000,19200
2017-08-28,7.290000,7.950000,7.290000,7.780000,7.780000,10800
2017-08-29,7.920000,8.560000,7.920000,8.380000,8.380000,24600
2017-08-30,8.550000,8.920000,8.388000,8.730000,8.730000,10000
