Date,Open,High,Low,Close,Adj Close,Volume
2013-03-22,6.360000,6.360000,6.360000,6.360000,6.360000,0
2013-03-25,6.360000,6.360000,6.360000,6.360000,6.360000,0
2013-03-26,6.360000,6.360000,6.360000,6.360000,6.360000,0
2013-03-27,6.360000,6.360000,6.360000,6.360000,6.360000,0
2013-03-28,6.360000,6.360000,6.360000,6.360000,6.360000,0
2013-04-01,6.360000,6.420000,6.360000,6.420000,6.420000,400
2013-04-02,6.300000,6.300000,6.300000,6.300000,6.300000,0
2013-04-03,6.300000,6.300000,6.300000,6.300000,6.300000,0
2013-04-04,6.300000,6.300000,6.300000,6.300000,6.300000,0
2013-04-05,6.300000,6.300000,6.300000,6.300000,6.300000,0
2013-04-08,6.720000,6.720000,6.150000,6.150000,6.150000,100
2013-04-09,6.150000,6.150000,6.150000,6.150000,6.150000,0
2013-04-10,6.150000,6.150000,6.150000,6.150000,6.150000,0
2013-04-11,6.150000,6.150000,6.150000,6.150000,6.150000,0
2013-04-12,6.150000,6.150000,6.150000,6.150000,6.150000,0
2013-04-15,6.240000,6.240000,6.240000,6.240000,6.240000,0
2013-04-16,6.240000,6.240000,6.240000,6.240000,6.240000,0
2013-04-17,6.240000,6.240000,6.240000,6.240000,6.240000,0
2013-04-18,6.090000,6.090000,6.090000,6.090000,6.090000,200
2013-04-19,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-04-22,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-04-23,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-04-24,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-04-25,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-04-26,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-04-29,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-04-30,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-05-01,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-05-02,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-05-03,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-05-06,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-05-07,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-05-08,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-05-09,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-05-10,5.940000,5.940000,5.940000,5.940000,5.940000,0
2013-05-13,4.830000,4.830000,4.830000,4.830000,4.830000,100
2013-05-14,4.830000,4.830000,4.830000,4.830000,4.830000,0
2013-05-15,4.830000,4.830000,4.830000,4.830000,4.830000,0
2013-05-16,4.830000,4.830000,4.830000,4.830000,4.830000,0
2013-05-17,4.830000,4.830000,4.830000,4.830000,4.830000,100
2013-05-20,4.830000,4.830000,4.830000,4.830000,4.830000,0
2013-05-21,4.170000,4.170000,4.170000,4.170000,4.170000,800
2013-05-22,4.170000,4.170000,4.170000,4.170000,4.170000,0
2013-05-23,4.260000,4.680000,4.260000,4.590000,4.590000,100
2013-05-24,4.590000,4.590000,4.590000,4.590000,4.590000,0
2013-05-28,4.590000,4.590000,4.590000,4.590000,4.590000,0
2013-05-29,4.590000,4.590000,4.590000,4.590000,4.590000,0
2013-05-30,4.590000,4.590000,4.590000,4.590000,4.590000,0
2013-05-31,4.590000,4.590000,4.590000,4.590000,4.590000,0
2013-06-03,4.680000,4.680000,4.680000,4.680000,4.680000,0
2013-06-04,4.950000,4.950000,4.950000,4.950000,4.950000,0
2013-06-05,4.950000,4.950000,4.950000,4.950000,4.950000,0
2013-06-06,4.950000,4.950000,4.950000,4.950000,4.950000,0
2013-06-07,4.950000,4.950000,4.950000,4.950000,4.950000,0
2013-06-10,5.160000,5.160000,5.160000,5.160000,5.160000,200
2013-06-11,5.160000,5.160000,5.160000,5.160000,5.160000,0
2013-06-12,5.310000,5.310000,4.890000,4.890000,4.890000,1200
2013-06-13,4.890000,4.890000,4.890000,4.890000,4.890000,0
2013-06-14,4.890000,5.460000,4.890000,5.460000,5.460000,400
2013-06-17,5.490000,5.490000,5.400000,5.460000,5.460000,300
2013-06-18,5.460000,5.940000,5.460000,5.940000,5.940000,5000
2013-06-19,5.940000,6.060000,5.850000,5.880000,5.880000,2900
2013-06-20,5.610000,5.610000,5.610000,5.610000,5.610000,200
2013-06-21,5.610000,6.570000,5.610000,6.540000,6.540000,3200
2013-06-24,6.420000,6.420000,5.880000,6.330000,6.330000,1200
2013-06-25,6.570000,7.230000,6.510000,7.230000,7.230000,900
2013-06-26,7.200000,7.200000,6.870000,6.900000,6.900000,400
2013-06-27,6.960000,7.050000,6.750000,6.750000,6.750000,1000
2013-06-28,6.990000,7.080000,6.930000,7.080000,7.080000,400
2013-07-01,7.170000,7.170000,7.170000,7.170000,7.170000,500
2013-07-02,7.170000,7.170000,7.080000,7.080000,7.080000,900
2013-07-03,7.080000,7.080000,7.080000,7.080000,7.080000,0
2013-07-05,6.540000,6.810000,6.540000,6.810000,6.810000,100
2013-07-08,6.840000,6.840000,6.750000,6.750000,6.750000,900
2013-07-09,6.750000,6.750000,6.750000,6.750000,6.750000,0
2013-07-10,6.870000,6.870000,6.600000,6.870000,6.870000,1500
