Date,Open,High,Low,Close,Adj Close,Volume
2014-12-29,2.600000,2.600000,2.600000,2.600000,2.600000,0
2014-12-30,2.600000,2.600000,2.600000,2.600000,2.600000,0
2014-12-31,2.600000,2.600000,2.600000,2.600000,2.600000,0
2015-01-02,2.750000,2.750000,2.750000,2.750000,2.750000,0
2015-01-05,2.750000,2.750000,2.750000,2.750000,2.750000,0
2015-01-06,2.750000,2.750000,2.750000,2.750000,2.750000,0
2015-01-07,2.750000,2.750000,2.750000,2.750000,2.750000,0
2015-01-08,2.750000,2.750000,2.750000,2.750000,2.750000,0
2015-01-09,2.750000,2.750000,2.750000,2.750000,2.750000,0
2015-01-12,2.750000,2.750000,2.750000,2.750000,2.750000,0
2015-01-13,2.750000,2.750000,2.750000,2.750000,2.750000,0
2015-01-14,2.750000,2.750000,2.750000,2.750000,2.750000,0
2015-01-15,2.750000,2.750000,2.750000,2.750000,2.750000,0
2015-01-16,2.750000,2.750000,2.750000,2.750000,2.750000,0
2015-01-20,2.750000,2.750000,2.750000,2.750000,2.750000,0
2015-01-21,2.760000,2.760000,2.760000,2.760000,2.760000,0
2015-01-22,2.760000,2.760000,2.760000,2.760000,2.760000,0
2015-01-23,2.760000,2.760000,2.760000,2.760000,2.760000,0
2015-01-26,2.760000,2.760000,2.760000,2.760000,2.760000,0
2015-01-27,2.760000,2.760000,2.760000,2.760000,2.760000,0
2015-01-28,2.760000,2.760000,2.760000,2.760000,2.760000,0
2015-01-29,2.800000,2.800000,2.800000,2.800000,2.800000,0
2015-01-30,2.800000,2.800000,2.800000,2.800000,2.800000,0
2015-02-02,2.800000,2.800000,2.800000,2.800000,2.800000,0
2015-02-03,2.800000,2.800000,2.800000,2.800000,2.800000,0
2015-02-04,2.800000,2.800000,2.800000,2.800000,2.800000,0
2015-02-05,2.800000,2.800000,2.800000,2.800000,2.800000,0
2015-02-06,2.800000,2.800000,2.800000,2.800000,2.800000,0
2015-02-09,2.800000,2.800000,2.800000,2.800000,2.800000,0
2015-02-10,2.800000,2.800000,2.800000,2.800000,2.800000,0
2015-02-11,2.800000,2.850000,2.800000,2.850000,2.850000,9000
2015-02-12,2.850000,2.850000,2.850000,2.850000,2.850000,0
2015-02-13,2.850000,2.850000,2.850000,2.850000,2.850000,0
2015-02-17,2.850000,2.850000,2.850000,2.850000,2.850000,2000
2015-02-18,3.000000,3.000000,3.000000,3.000000,3.000000,5000
2015-02-19,3.200000,3.200000,3.200000,3.200000,3.200000,100
2015-02-20,3.200000,3.200000,3.200000,3.200000,3.200000,0
2015-02-23,3.200000,3.200000,3.200000,3.200000,3.200000,0
2015-02-24,null,null,null,null,null,null
2015-02-25,null,null,null,null,null,null
2015-02-26,3.250000,3.250000,3.250000,3.250000,3.250000,250
2015-02-27,3.250000,3.250000,3.250000,3.250000,3.250000,0
2015-03-02,3.250000,3.250000,3.250000,3.250000,3.250000,0
2015-03-03,3.250000,3.250000,3.250000,3.250000,3.250000,0
2015-03-04,3.250000,3.250000,3.250000,3.250000,3.250000,0
