Date,Open,High,Low,Close,Adj Close,Volume
2014-11-05,10.020000,11.550000,9.210000,10.500000,10.500000,698052
2014-11-06,10.350000,12.627000,10.350000,11.970000,11.970000,258300
2014-11-07,13.000000,13.290000,12.500000,13.290000,13.290000,126200
2014-11-10,13.480000,16.709999,13.250000,16.000000,16.000000,172800
2014-11-11,17.500000,18.476000,16.000000,16.469999,16.469999,187000
2014-11-12,16.500000,16.990000,13.100000,13.410000,13.410000,136200
2014-11-13,13.270000,13.420000,12.000000,13.420000,13.420000,140400
2014-11-14,13.000000,13.410000,12.510000,12.700000,12.700000,43800
2014-11-17,13.200000,13.990000,13.080000,13.450000,13.450000,33200
2014-11-18,13.510000,14.000000,13.450000,14.000000,14.000000,59100
2014-11-19,14.000000,14.000000,13.600000,13.660000,13.660000,34300
2014-11-20,13.610000,13.655000,12.840000,13.170000,13.170000,66000
2014-11-21,13.300000,13.700000,12.550000,12.650000,12.650000,45500
2014-11-24,12.750000,12.750000,12.500000,12.520000,12.520000,28500
2014-11-25,12.600000,12.910000,12.510000,12.680000,12.680000,22200
2014-11-26,12.620000,12.670000,12.500000,12.540000,12.540000,25300
2014-11-28,12.510000,13.400000,12.510000,13.200000,13.200000,28900
2014-12-01,13.050000,13.180000,12.060000,12.210000,12.210000,43400
2014-12-02,12.500000,13.850000,12.300000,13.150000,13.150000,46600
2014-12-03,13.500000,15.050000,13.500000,14.470000,14.470000,90200
2014-12-04,14.700000,14.820000,13.620000,13.740000,13.740000,37700
2014-12-05,13.600000,14.550000,13.010000,13.960000,13.960000,39400
2014-12-08,13.600000,14.419000,13.600000,14.240000,14.240000,18000
2014-12-09,13.610000,14.610000,13.600000,14.600000,14.600000,23500
2014-12-10,14.260000,16.620001,14.060000,16.070000,16.070000,128200
2014-12-11,16.209999,18.000000,15.750000,17.139999,17.139999,99400
2014-12-12,16.709999,17.600000,16.059999,17.049999,17.049999,37000
2014-12-15,17.690001,18.000000,15.030000,15.480000,15.480000,79300
2014-12-16,15.670000,15.980000,14.690000,15.390000,15.390000,43800
2014-12-17,15.230000,15.490000,14.720000,15.262000,15.262000,31600
2014-12-18,15.910000,16.639999,15.300000,16.010000,16.010000,49300
2014-12-19,16.000000,17.150000,15.580000,15.600000,15.600000,31200
2014-12-22,15.500000,15.850000,14.600000,15.240000,15.240000,79400
2014-12-23,15.620000,15.980000,14.990000,15.310000,15.310000,16600
2014-12-24,15.120000,15.495000,15.120000,15.495000,15.495000,5000
2014-12-26,15.880000,17.500000,15.830000,17.045000,17.045000,64400
2014-12-29,17.490000,20.549999,17.250000,19.910000,19.910000,213000
2014-12-30,20.400000,21.950001,19.750000,19.790001,19.790001,161300
