Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.510000,2.560000,2.440000,2.560000,2.560000,133100
2010-01-05,2.550000,2.550000,2.400000,2.420000,2.420000,117800
2010-01-06,2.410000,2.420000,2.290000,2.360000,2.360000,195600
2010-01-07,2.360000,2.490000,2.350000,2.470000,2.470000,126500
2010-01-08,2.400000,2.470000,2.350000,2.410000,2.410000,237600
2010-01-11,2.430000,2.480000,2.360000,2.440000,2.440000,87800
2010-01-12,2.410000,2.450000,2.310000,2.330000,2.330000,105700
2010-01-13,2.350000,2.460000,2.330000,2.440000,2.440000,108200
2010-01-14,2.430000,2.450000,2.340000,2.350000,2.350000,75100
2010-01-15,2.380000,2.400000,2.300000,2.310000,2.310000,217100
2010-01-19,2.310000,2.490000,2.310000,2.480000,2.480000,204200
2010-01-20,2.440000,2.480000,2.300000,2.350000,2.350000,191600
2010-01-21,2.360000,2.360000,2.200000,2.210000,2.210000,255300
2010-01-22,2.210000,2.290000,2.150000,2.180000,2.180000,132600
2010-01-25,2.220000,2.280000,2.150000,2.210000,2.210000,124500
2010-01-26,2.190000,2.200000,2.090000,2.110000,2.110000,355600
2010-01-27,2.090000,2.250000,2.090000,2.250000,2.250000,138500
2010-01-28,2.260000,2.300000,2.100000,2.130000,2.130000,145700
2010-01-29,2.150000,2.240000,2.150000,2.170000,2.170000,199400
2010-02-01,2.180000,2.250000,2.140000,2.220000,2.220000,95400
2010-02-02,2.220000,2.220000,2.130000,2.200000,2.200000,187100
2010-02-03,2.180000,2.210000,2.120000,2.150000,2.150000,144300
2010-02-04,2.130000,2.150000,1.950000,1.950000,1.950000,223000
2010-02-05,1.950000,2.050000,1.930000,2.010000,2.010000,188100
2010-02-08,2.010000,2.010000,1.920000,1.950000,1.950000,95400
2010-02-09,2.000000,2.010000,1.910000,2.010000,2.010000,135300
2010-02-10,1.990000,2.050000,1.950000,2.030000,2.030000,151200
2010-02-11,2.010000,2.170000,1.980000,2.160000,2.160000,195500
2010-02-12,2.120000,2.180000,2.120000,2.160000,2.160000,69400
2010-02-16,2.190000,2.190000,2.090000,2.130000,2.130000,81800
2010-02-17,2.150000,2.190000,2.120000,2.150000,2.150000,148500
2010-02-18,2.150000,2.230000,2.120000,2.220000,2.220000,89300
2010-02-19,2.220000,2.280000,2.140000,2.240000,2.240000,168900
2010-02-22,2.250000,2.270000,2.180000,2.260000,2.260000,79100
2010-02-23,2.250000,2.400000,2.200000,2.400000,2.400000,313000
2010-02-24,2.400000,2.450000,2.270000,2.380000,2.380000,227000
2010-02-25,2.300000,2.360000,2.230000,2.350000,2.350000,254200
2010-02-26,2.300000,2.420000,2.300000,2.390000,2.390000,358200
2010-03-01,2.410000,2.450000,2.370000,2.410000,2.410000,370800
2010-03-02,2.420000,2.550000,2.400000,2.550000,2.550000,789000
2010-03-03,2.570000,2.690000,2.510000,2.660000,2.660000,299000
2010-03-04,2.660000,2.660000,2.580000,2.620000,2.620000,113200
2010-03-05,2.650000,2.660000,2.590000,2.650000,2.650000,451000
2010-03-08,2.630000,2.700000,2.560000,2.700000,2.700000,260500
2010-03-09,2.670000,2.750000,2.620000,2.720000,2.720000,570900
2010-03-10,2.730000,2.840000,2.690000,2.800000,2.800000,195300
2010-03-11,2.760000,2.780000,2.660000,2.770000,2.770000,154000
2010-03-12,2.780000,2.780000,2.680000,2.740000,2.740000,191200
2010-03-15,2.740000,2.740000,2.570000,2.660000,2.660000,71600
2010-03-16,2.670000,2.700000,2.570000,2.700000,2.700000,104400
2010-03-17,2.700000,2.710000,2.600000,2.660000,2.660000,104400
2010-03-18,2.650000,2.680000,2.570000,2.620000,2.620000,184300
2010-03-19,2.640000,2.640000,2.520000,2.630000,2.630000,271200
2010-03-22,2.590000,2.730000,2.560000,2.720000,2.720000,90500
2010-03-23,2.710000,2.740000,2.640000,2.720000,2.720000,131600
2010-03-24,2.710000,2.750000,2.630000,2.640000,2.640000,106800
2010-03-25,2.660000,2.750000,2.540000,2.600000,2.600000,316700
2010-03-26,2.610000,2.720000,2.580000,2.600000,2.600000,76200
2010-03-29,2.620000,2.770000,2.600000,2.750000,2.750000,217800
2010-03-30,2.750000,2.870000,2.740000,2.870000,2.870000,153600
2010-03-31,2.840000,3.090000,2.840000,3.010000,3.010000,383000
2010-04-01,3.030000,3.140000,2.990000,3.040000,3.040000,205700
2010-04-05,3.050000,3.080000,2.960000,2.990000,2.990000,117100
2010-04-06,2.950000,3.070000,2.950000,2.980000,2.980000,78800
2010-04-07,2.980000,3.060000,2.870000,2.970000,2.970000,202400
2010-04-08,2.940000,3.020000,2.850000,3.000000,3.000000,131800
2010-04-09,2.990000,3.010000,2.830000,2.920000,2.920000,161100
2010-04-12,2.910000,3.010000,2.880000,2.920000,2.920000,157800
2010-04-13,2.920000,2.950000,2.880000,2.940000,2.940000,69700
2010-04-14,2.970000,3.040000,2.930000,3.040000,3.040000,112200
2010-04-15,3.030000,3.140000,2.990000,3.060000,3.060000,207500
2010-04-16,3.050000,3.050000,2.950000,3.010000,3.010000,211500
2010-04-19,3.000000,3.080000,2.820000,2.830000,2.830000,152300
2010-04-20,2.850000,2.970000,2.800000,2.970000,2.970000,164300
2010-04-21,2.980000,3.040000,2.920000,3.040000,3.040000,126300
