Date,Open,High,Low,Close,Adj Close,Volume
2015-11-19,9.000000,9.440000,8.320000,8.740000,8.740000,532300
2015-11-20,8.540000,9.090000,8.430000,9.070000,9.070000,30800
2015-11-23,9.070000,9.200000,9.050000,9.060000,9.060000,13900
2015-11-24,9.200000,9.200000,9.020000,9.200000,9.200000,7600
2015-11-25,9.200000,9.700000,8.090000,8.820000,8.820000,135600
2015-11-27,8.900000,9.410000,8.660000,9.190000,9.190000,4300
2015-11-30,8.800000,9.300000,8.685000,8.830000,8.830000,37700
2015-12-01,8.810000,9.240000,8.610000,8.730000,8.730000,75100
2015-12-02,8.950000,9.060000,8.000000,8.790000,8.790000,136400
2015-12-03,8.940000,9.020000,8.600000,8.600000,8.600000,119200
2015-12-04,8.260000,8.740000,8.260000,8.600000,8.600000,109100
2015-12-07,8.520000,8.810000,8.300000,8.550000,8.550000,127300
2015-12-08,8.800000,8.800000,8.330000,8.690000,8.690000,35500
2015-12-09,8.605000,8.860000,8.510000,8.670000,8.670000,50500
2015-12-10,8.790000,8.790000,8.324000,8.580000,8.580000,67100
2015-12-11,8.640000,8.900000,8.180000,8.450000,8.450000,75200
2015-12-14,8.330000,8.650000,8.000000,8.250000,8.250000,26800
2015-12-15,8.270000,8.450000,8.070000,8.350000,8.350000,15100
2015-12-16,8.350000,8.640000,8.000000,8.283000,8.283000,37100
2015-12-17,8.400000,8.600000,8.300000,8.500000,8.500000,9900
2015-12-18,8.310000,9.210000,8.300000,9.110000,9.110000,62700
2015-12-21,9.050000,9.050000,8.730000,9.050000,9.050000,33100
2015-12-22,8.750000,9.150000,8.400000,9.150000,9.150000,27800
2015-12-23,9.150000,9.150000,8.750000,8.970000,8.970000,17800
2015-12-24,8.750000,8.920000,8.420000,8.670000,8.670000,12200
2015-12-28,8.339000,8.970000,8.250000,8.720000,8.720000,34300
2015-12-29,9.000000,9.210000,8.250000,9.210000,9.210000,113700
2015-12-30,9.140000,9.200000,8.635000,9.200000,9.200000,80200
2015-12-31,9.150000,9.540000,8.880000,9.270000,9.270000,75800
2016-01-04,9.540000,12.190000,9.500000,12.190000,12.190000,54500
2016-01-05,12.270000,15.740000,12.210000,14.980000,14.980000,161700
2016-01-06,14.710000,14.760000,13.900000,14.470000,14.470000,48400
2016-01-07,14.070000,14.450000,12.110000,12.450000,12.450000,62100
2016-01-08,12.570000,12.750000,11.821000,11.860000,11.860000,18100
2016-01-11,12.160000,12.480000,11.350000,11.970000,11.970000,29000
2016-01-12,12.010000,12.870000,11.390000,11.890000,11.890000,33500
2016-01-13,12.010000,12.010000,9.700000,10.220000,10.220000,55300
2016-01-14,10.350000,10.620000,9.800000,10.620000,10.620000,30800
2016-01-15,10.620000,13.590000,10.100000,13.000000,13.000000,43300
2016-01-19,13.710000,13.710000,11.170000,12.350000,12.350000,44800
2016-01-20,12.590000,12.590000,11.020000,12.160000,12.160000,31900
2016-01-21,12.210000,12.250000,11.500000,12.250000,12.250000,12700
2016-01-22,12.250000,13.038000,12.110000,12.470000,12.470000,24200
2016-01-25,12.480000,12.480000,10.910000,11.350000,11.350000,56100
2016-01-26,11.490000,13.100000,10.300000,11.590000,11.590000,32600
2016-01-27,11.620000,12.686000,9.260000,9.570000,9.570000,51900
2016-01-28,9.750000,10.166000,8.820000,9.030000,9.030000,15500
2016-01-29,9.020000,9.800000,7.802000,7.830000,7.830000,25800
2016-02-01,7.850000,8.098000,7.220000,7.710000,7.710000,42400
2016-02-02,7.850000,8.150000,6.680000,7.332000,7.332000,27500
2016-02-03,7.200000,7.400000,6.750000,7.320000,7.320000,21200
2016-02-04,7.230000,7.800000,7.010000,7.370000,7.370000,12500
2016-02-05,7.290000,7.580000,7.210000,7.210000,7.210000,10300
2016-02-08,7.250000,7.250000,5.370000,5.370000,5.370000,26900
2016-02-09,5.510000,7.800000,5.500000,6.300000,6.300000,9100
2016-02-10,6.180000,7.000000,5.800000,6.940000,6.940000,8600
2016-02-11,7.600000,8.290000,6.790000,6.850000,6.850000,7200
2016-02-12,8.340000,8.340000,7.440000,8.000000,8.000000,2000
2016-02-16,8.160000,8.500000,8.160000,8.250000,8.250000,8100
2016-02-17,8.500000,8.500000,7.620000,8.210000,8.210000,26300
2016-02-18,8.320000,8.700000,7.770000,8.390000,8.390000,12500
2016-02-19,8.260000,8.650000,7.359000,8.650000,8.650000,11700
2016-02-22,8.150000,8.750000,7.420000,8.650000,8.650000,41400
2016-02-23,8.550000,8.710000,7.770000,8.650000,8.650000,14300
2016-02-24,8.620000,8.620000,8.000000,8.380000,8.380000,15800
2016-02-25,8.360000,8.360000,7.220000,7.890000,7.890000,54100
2016-02-26,7.870000,8.600000,7.770000,8.400000,8.400000,16600
2016-02-29,8.420000,8.500000,7.770000,7.770000,7.770000,17900
2016-03-01,8.030000,8.240000,7.650000,8.180000,8.180000,16300
2016-03-02,8.200000,8.440000,8.010000,8.440000,8.440000,4200
2016-03-03,8.290000,8.370000,7.620000,8.300000,8.300000,16200
2016-03-04,8.230000,8.328000,6.550000,7.100000,7.100000,40500
2016-03-07,7.310000,7.830000,6.750000,7.250000,7.250000,44800
2016-03-08,7.110000,7.360000,6.825000,6.980000,6.980000,14700
2016-03-09,7.050000,7.470000,6.950000,7.020000,7.020000,11400
2016-03-10,7.100000,7.150000,6.960000,6.970000,6.970000,7800
2016-03-11,7.280000,7.410000,7.100000,7.140000,7.140000,16300
2016-03-14,7.500000,9.750000,7.040000,9.650000,9.650000,37800
2016-03-15,9.560000,12.090000,9.000000,10.200000,10.200000,69200
2016-03-16,10.260000,10.990000,10.260000,10.750000,10.750000,120200
2016-03-17,10.740000,10.781000,8.020000,8.970000,8.970000,34900
2016-03-18,9.170000,10.000000,8.315000,8.540000,8.540000,233500
2016-03-21,8.460000,9.000000,8.460000,8.700000,8.700000,16300
2016-03-22,8.680000,9.310000,8.310000,8.860000,8.860000,27000
2016-03-23,8.780000,9.120000,8.450000,9.060000,9.060000,22900
2016-03-24,8.940000,9.540000,8.430000,8.500000,8.500000,30800
2016-03-28,8.490000,8.790000,8.010000,8.150000,8.150000,7700
2016-03-29,8.210000,8.750000,7.520000,7.850000,7.850000,20400
2016-03-30,7.840000,8.750000,6.935000,8.700000,8.700000,38900
2016-03-31,9.150000,9.150000,7.173000,8.600000,8.600000,52800
2016-04-01,8.600000,9.300000,7.930000,8.950000,8.950000,18400
2016-04-04,9.240000,9.980000,8.840000,9.290000,9.290000,39900
